Title	Authors	Corporate Authors	Editors	Book Editors	Source Title	Publication Date	Publication Year	Volume	Issue	Part Number	Supplement	Special Issue	Beginning Page	Ending Page	Article Number	DOI	Total Citations	Average per Year
"Fish-T1K (Transcriptomes of 1,000 Fishes) Project: large-scale transcriptome data for fish evolution studies"	"Sun, Ying; Huang, Yu; Li, Xiaofeng; Baldwin, Carole C.; Zhou, Zhuocheng; Yan, Zhixiang; Crandall, Keith A.; Zhang, Yong; Zhao, Xiaomeng; Wang, Min; Wong, Alex; Fang, Chao; Zhang, Xinhui; Huang, Hai; Lopez, Jose V.; Kilfoyle, Kirk; Zhang, Yong; Orti, Guillermo; Venkatesh, Byrappa; Shi, Qiong"				GIGASCIENCE	MAY 3 2016	2016	5							18	10.1186/s13742-016-0124-7	2	1
Scalable linkage-disequilibrium-based selective sweep detection: a performance guide	"Alachiotis, Nikolaos; Pavlidis, Pavlos"				GIGASCIENCE	FEB 8 2016	2016	5							7	10.1186/s13742-016-0114-9	2	1
OPTIMA: sensitive and accurate whole-genome alignment of error-prone genomic maps by combinatorial indexing and technology-agnostic statistical analysis	"Verzotto, Davide; Teo, Audrey S. M.; Hillmer, Axel M.; Nagarajan, Niranjan"				GIGASCIENCE	JAN 19 2016	2016	5							2	10.1186/s13742-016-0110-0	2	1
Spatially transformed fluorescence image data for ERK-MAPK and selected proteins within human epidermis	"Cursons, Joseph; Angel, Catherine E.; Hurley, Daniel G.; Print, Cristin G.; Dunbar, P. Rod; Jacobs, Marc D.; Crampin, Edmund J."				GIGASCIENCE	DEC 14 2015	2015	4							63	10.1186/s13742-015-0102-5	2	0.67
De novo assembly of Dekkera bruxellensis: a multi technology approach using short and long-read sequencing and optical mapping	"Olsen, Remi-Andre; Bunikis, Ignas; Tiukova, Ievgeniia; Holmberg, Kicki; Lotstedt, Britta; Pettersson, Olga Vinnere; Passoth, Volkmar; Kaller, Max; Vezzi, Francesco"				GIGASCIENCE	NOV 26 2015	2015	4							56	10.1186/s13742-015-0094-1	2	0.67
Exemplary multiplex bisulfite amplicon data used to demonstrate the utility of Methpat	"Wong, Nicholas C.; Pope, Bernard J.; Candiloro, Ida; Korbie, Darren; Trau, Matt; Wong, Stephen Q.; Mikeska, Thomas; van Denderen, Bryce J. W.; Thompson, Erik W.; Eggers, Stefanie; Doyle, Stephen R.; Dobrovic, Alexander"				GIGASCIENCE	NOV 26 2015	2015	4							55	10.1186/s13742-015-0098-x	2	0.67
Better reporting for better research: a checklist for reproducibility	"Kenall, Amye; Edmunds, Scott; Goodman, Laurie; Bal, Liz; Flintoft, Louisa; Shanahan, Daniel R.; Shipley, Tim"				GIGASCIENCE	JUL 23 2015	2015	4							32	10.1186/s13742-015-0071-8	2	0.67
Four aspects to make science open by design and not as an after-thought	"Halchenko, Yaroslav O.; Hanke, Michael"				GIGASCIENCE	JUL 18 2015	2015	4							31		2	0.67
SMAP: a streamlined methylation analysis pipeline for bisulfite sequencing	"Gao, Shengjie; Zou, Dan; Mao, Likai; Zhou, Quan; Jia, Wenlong; Huang, Yi; Zhao, Shancen; Chen, Gang; Wu, Song; Li, Dongdong; Xia, Fei; Chen, Huafeng; Chen, Maoshan; Orntoft, Torben F.; Bolund, Lars; Sorensen, Karina D."				GIGASCIENCE	JUL 1 2015	2015	4							29	10.1186/s13742-015-0070-9	2	0.67
A quantitative assessment of the Hadoop framework for analyzing massively parallel DNA sequencing data	"Siretskiy, Alexey; Sundqvist, Tore; Voznesenskiy, Mikhail; Spjuth, Ola"				GIGASCIENCE	JUN 4 2015	2015	4							26	10.1186/s13742-015-0058-5	2	0.67
Investigation into the annotation of protocol sequencing steps in the sequence read archive	"Alnasir, Jamie; Shanahan, Hugh P."				GIGASCIENCE	MAY 9 2015	2015	4							23	10.1186/s13742-015-0064-7	2	0.67
De novo assembly of the chimpanzee transcriptome from NextGen mRNA sequences	"Maudhoo, Mnirnal D.; Madison, Jacob D.; Norgren, Robert B., Jr."				GIGASCIENCE	APR 18 2015	2015	4							18	10.1186/s13742-015-0061-x	2	0.67
"A reference bacterial genome dataset generated on the MinION (TM) portable single-molecule nanopore sequencer (vol 3, 22, 2014)"	"Quick, Joshua; Quinlan, Aaron R.; Loman, Nicholas J."				GIGASCIENCE	FEB 13 2015	2015	4							6	10.1186/s13742-015-0043-z	2	0.67
A spectrum of sharing: maximization of information content for brain imaging data	"Calhoun, Vince D."				GIGASCIENCE	JAN 29 2015	2015	4							2	10.1186/s13742-014-0042-5	2	0.67
Ten recommendations for software engineering in research	"Hastings, Janna; Haug, Kenneth; Steinbeck, Christoph"				GIGASCIENCE	DEC 4 2014	2014	3							31	10.1186/2047-217X-3-31	2	0.5
Free breathing myocardial perfusion data sets for performance analysis of motion compensation algorithms	"Wollny, Gert; Kellman, Peter"				GIGASCIENCE	NOV 11 2014	2014	3							23	10.1186/2047-217X-3-23	2	0.5
miRNA Temporal Analyzer (mirnaTA): a bioinformatics tool for identifying differentially expressed microRNAs in temporal studies using normal quantile transformation	"Cer, Regina Z.; Herrera-Galeano, J. Enrique; Anderson, Joseph J.; Bishop-Lilly, Kimberly A.; Mokashi, Vishwesh P."				GIGASCIENCE	OCT 13 2014	2014	3							20	10.1186/2047-217X-3-20	2	0.5
Research prioritization through prediction of future impact on biomedical science: a position paper on inference-analytics	"Ganapathiraju, Madhavi K.; Orii, Naoki"				GIGASCIENCE	AUG 30 2013	2013	2							11	10.1186/2047-217X-2-11	2	0.4
From chromatogram to analyte to metabolite. How to pick horses for courses from the massive web resources for mass spectral plant metabolomics	"de Souza, Leonardo Perez; Naake, Thomas; Tohge, Takayuki; Fernie, Alisdair R."				GIGASCIENCE	MAY 17 2017	2017	6	7							10.1093/gigascience/gix037	1	1
Laboratory x-ray micro-computed tomography: a user guideline for biological samples	"du Plessis, Anton; Broeckhoven, Chris; Guelpa, Anina; le Roux, Stephan Gerhard"				GIGASCIENCE	APR 17 2017	2017	6	6							10.1093/gigascience/gix027	1	1
A reference human genome dataset of the BGISEQ-500 sequencer	"Huang, Jie; Liang, Xinming; Xuan, Yuankai; Geng, Chunyu; Li, Yuxiang; Lu, Haorong; Qu, Shoufang; Mei, Xianglin; Chen, Hongbo; Yu, Ting; Sun, Nan; Rao, Junhua; Wang, Jiahao; Zhang, Wenwei; Chen, Ying; Liao, Sha; Jiang, Hui; Liu, Xin; Yang, Zhaopeng; Mu, Feng; Gao, Shangxian"				GIGASCIENCE	APR 1 2017	2017	6	5							10.1093/gigascience/gix024	1	1
Genome sequence of pacific abalone (Haliotis discus hannai): the first draft genome in family Haliotidae	"Bo-Hye Nam; Kwak, Woori; Kim, Young-Ok; Kim, Dong-Gyun; Kong, Hee Jeong; Kim, Woo-Jin; Kang, Jeong-Ha; Park, Jung Youn; An, Cheul Min; Moon, Ji-Young; Park, Choul Ji; Yu, Jae Woong; Yoon, Joon; Seo, Minseok; Kim, Kwondo; Kim, Duk Kyung; Lee, SaetByeol; Sung, Samsun; Lee, Chul; Shin, Younhee; Jung, Myunghee; Kang, Byeong-Chul; Shin, Ga-hee; Ka, Sojeong; Caetano-Anolles, Kelsey; Cho, Seoae; Kim, Heebal"				GIGASCIENCE	MAR 7 2017	2017	6	5							10.1093/gigascience/gix014	1	1
The Healthy Brain Network Serial Scanning Initiative: a resource for evaluating inter-individual differences and their reliabilities across scan conditions and sessions	"O'Connor, David; Potler, Natan Vega; Kovacs, Meagan; Xu, Ting; Ai, Lei; Pellman, John; Vanderwal, Tamara; Parra, Lucas C.; Cohen, Samantha; Ghosh, Satrajit; Escalera, Jasmine; Grant-Villegas, Natalie; Osman, Yael; Bui, Anastasia; Craddock, R. Cameron; Milham, Michael P."				GIGASCIENCE	JAN 7 2017	2017	6	2							10.1093/gigascience/giw011	1	1
The preprocessed connectomes project repository of manually corrected skull-stripped T1-weighted anatomical MRI data	"Puccio, Benjamin; Pooley, James P.; Pellman, John S.; Taverna, Elise C.; Craddock, R. Cameron"				GIGASCIENCE	OCT 25 2016	2016	5							45	10.1186/s13742-016-0150-5	1	0.5
"High-quality genome assembly of channel catfish, Ictalurus punctatus"	"Chen, Xiaohui; Zhong, Liqiang; Bian, Chao; Xu, Pao; Qiu, Ying; You, Xinxin; Zhang, Shiyong; Huang, Yu; Li, Jia; Wang, Minghua; Qin, Qin; Zhu, Xiaohua; Peng, Chao; Wong, Alex; Zhu, Zhifei; Wang, Min; Gu, Ruobo; Xu, Junmin; Shi, Qiong; Bian, Wenji"				GIGASCIENCE	AUG 22 2016	2016	5							39	10.1186/s13742-016-0142-5	1	0.5
Chromosomer: a reference-based genome arrangement tool for producing draft chromosome sequences	"Tamazian, Gaik; Dobrynin, Pavel; Krasheninnikova, Ksenia; Komissarov, Aleksey; Koepfli, Klaus-Peter; O'Brien, Stephen J."				GIGASCIENCE	AUG 22 2016	2016	5							38	10.1186/s13742-016-0141-6	1	0.5
Simulating social-ecological systems: the Island Digital Ecosystem Avatars (IDEA) consortium	"Davies, Neil; Field, Dawn; Gavaghan, David; Holbrook, Sally J.; Planes, Serge; Troyer, Matthias; Bonsall, Michael; Claudet, Joachim; Roderick, George; Schmitt, Russell J.; Zettler, Linda Amaral; Berteaux, Veronique; Bossin, Herve C.; Cabasse, Charlotte; Collin, Antoine; Deck, John; Dell, Tony; Dunne, Jennifer; Gates, Ruth; Harfoot, Mike; Hench, James L.; Hopuare, Marania; Kirch, Patrick; Kotoulas, Georgios; Kosenkov, Alex; Kusenko, Alex; Leichter, James J.; Lenihan, Hunter; Magoulas, Antonios; Martinez, Neo; Meyer, Chris; Stoll, Benoit; Swalla, Billie; Tartakovsky, Daniel M.; Murphy, Hinano Teavai; Turyshev, Slava; Valdvinos, Fernanda; Williams, Rich; Wood, Spencer"	IDEA Consortium			GIGASCIENCE	MAR 17 2016	2016	5							14	10.1186/s13742-016-0118-5	1	0.5
An image database of Drosophila melanogaster wings for phenomic and biometric analysis	"Sonnenschein, Anne; VanderZee, David; Pitchers, William R.; Chari, Sudarshan; Dworkin, Ian"				GIGASCIENCE	MAY 22 2015	2015	4							25	10.1186/s13742-015-0065-6	1	0.33
BioMAJ2Galaxy: automatic update of reference data in Galaxy using BioMAJ	"Bretaudeau, Anthony; Monjeaud, Cyril; Le Bras, Yvan; Legeai, Fabrice; Collin, Olivier"				GIGASCIENCE	MAY 9 2015	2015	4							22	10.1186/s13742-015-0063-8	1	0.33
Large-scale analysis of the evolutionary histories of phosphorylation motifs in the human genome	"Yoshizaki, Hisayoshi; Okuda, Shujiro"				GIGASCIENCE	MAY 6 2015	2015	4							21	10.1186/s13742-015-0057-6	1	0.33
Paediatric leukaemia DNA methylation profiling using MBD enrichment and SOLiD sequencing on archival bone marrow smears	"Wong, Nicholas C. L.; Meredith, Gavin D.; Marnellos, George; Dudas, Miroslav; Parkinson-Bates, Mandy; Halemba, Minhee Suh; Chatterton, Zac; Maksimovic, Jovana; Ashley, David M.; Mechinaud, Francoise; Craig, Jeffrey M.; Saffery, Richard"				GIGASCIENCE	MAR 18 2015	2015	4							11	10.1186/s13742-015-0050-0	1	0.33
SmileFinder: a resampling-based approach to evaluate signatures of selection from genome-wide sets of matching allele frequency data in two or more diploid populations	"Guiblet, Wilfried M.; Zhao, Kai; O'Brien, Stephen J.; Massey, Steven E.; Roca, Alfred L.; Oleksyk, Taras K."				GIGASCIENCE	JAN 14 2015	2015	4							1	10.1186/2047-217X-4-1	1	0.33
GWATCH: a web platform for automated gene association discovery analysis	"Svitin, Anton; Malov, Sergey; Cherkasov, Nikolay; Geerts, Paul; Rotkevich, Mikhail; Dobrynin, Pavel; Shevchenko, Andrey; Guan, Li; Troyer, Jennifer; Hendrickson, Sher; Dilks, Holli Hutcheson; Oleksyk, Taras K.; Donfield, Sharyne; Gomperts, Edward; Jabs, Douglas A.; Sezgin, Efe; Van Natta, Mark; Harrigan, P. Richard; Brumme, Zabrina L.; O'Brien, Stephen J."				GIGASCIENCE	NOV 5 2014	2014	3							18	10.1186/2047-217X-3-18	1	0.25
Biodiversity research in the big data era: GigaScience and Pensoft work together to publish the most data-rich species description	"Edmunds, Scott C.; Hunter, Chris I.; Smith, Vincent; Stoev, Pavel; Penev, Lyubomir"				GIGASCIENCE	2013	2013	2							14	10.1186/2047-217X-2-14	1	0.2
Novel transcriptome resources for three scleractinian coral species from the Indo-Pacific	"Kenkel, Carly D.; Bay, Line K."				GIGASCIENCE	AUG 23 2017	2017	6	9							10.1093/gigascience/gix074	0	0
High-precision registration between zebrafish brain atlases using symmetric diffeomorphic normalization	"Marquart, Gregory D.; Tabor, Kathryn M.; Horstick, Eric J.; Brown, Mary; Geoca, Alexandra K.; Polys, Nicholas F.; Nogare, Damian Dalle; Burgess, Harold A."				GIGASCIENCE	AUG 19 2017	2017	6	8							10.1093/gigascience/gix056	0	0
The draft genome sequence of a desert tree Populus pruinosa	"Yang, Wenlu; Wang, Kun; Zhang, Jian; Ma, Jianchao; Liu, Jianquan; Ma, Tao"				GIGASCIENCE	AUG 8 2017	2017	6	9						6	10.1093/gigascience/gix075	0	0
Deep whole-genome sequencing of 90 Han Chinese genomes	"Lan, Tianming; Lin, Haoxiang; Zhu, Wenjuan; Laurent, Tellier Christian Asker Melchior; Yang, Mengcheng; Liu, Xin; Wang, Jun; Wang, Jian; Yang, Huanming; Xu, Xun; Guo, Xiaosen"				GIGASCIENCE	JUL 31 2017	2017	6	9						7	10.1093/gigascience/gix067	0	0
Population-wide sampling of retrotransposon insertion polymorphisms using deep sequencing and efficient detection	"Yu, Qichao; Zhang, Wei; Zhang, Xiaolong; Zeng, Yongli; Wang, Yeming; Wang, Yanhui; Xu, Liqin; Huang, Xiaoyun; Li, Nannan; Zhou, Xinlan; Lu, Jie; Guo, Xiaosen; Li, Guibo; Hou, Yong; Liu, Shiping; Li, Bo"				GIGASCIENCE	JUL 31 2017	2017	6	9						11	10.1093/gigascience/gix066	0	0
Connections between human gut microbiome and gestational diabetes mellitus	"Kuang, Ya-Shu; Lu, Jin-Hua; Li, Sheng-Hui; Li, Jun-Hua; Yuan, Ming-Yang; He, Jian-Rong; Chen, Nian-Nian; Xiao, Wan-Qing; Shen, Song-Ying; Qiu, Lan; Wu, Ying-Fang; Hu, Cui-Yue; Wu, Yan-Yan; Li, Wei-Dong; Chen, Qiao-Zhu; Deng, Hong-Wen; Papasian, Christopher J.; Xia, Hui-Min; Qiu, Xiu"				GIGASCIENCE	JUL 31 2017	2017	6	8								0	0
The pearl oyster Pinctada fucata martensii genome and multi-omic analyses provide insights into biomineralization	"Du, Xiaodong; Fan, Guangyi; Jiao, Yu; Zhang, He; Guo, Ximing; Huang, Ronglian; Zheng, Zhe; Bian, Chao; Deng, Yuewen; Wang, Qingheng; Wang, Zhongduo; Liang, Xinming; Liang, Haiying; Shi, Chengcheng; Zhao, Xiaoxia; Sun, Fengming; Hao, Ruijuan; Bai, Jie; Liu, Jialiang; Chen, Wenbin; Liang, Jinlian; Liu, Weiqing; Xu, Zhe; Shi, Qiong; Xu, Xun; Zhang, Guofan; Liu, Xin"				GIGASCIENCE	JUL 25 2017	2017	6	8							10.5524/100240	0	0
Looking back: forward looking	"Edmunds, Scott C.; Nogoy, Nicole A.; Zauner, Hans; Li, Peter; Hunter, Christopher I.; Zhe, Xiao Si; Goodman, Laurie"				GIGASCIENCE	JUL 24 2017	2017	6	9							10.1093/gigascience/gix064	0	0
"De novo genome assembly of Camptotheca acuminata, a natural source of the anti-cancer compound camptothecin"	"Zhao, Dongyan; Hamilton, John P.; Pham, Gina M.; Crisovan, Emily; Wiegert-Rininger, Krystle; Vaillancourt, Brieanne; DellaPenna, Dean; Buell, C. Robin"				GIGASCIENCE	JUL 24 2017	2017	6	9							10.1093/gigascience/gix065	0	0
"Draft genome of the Antarctic dragonfish, Parachaenichthys charcoti"	"Ahn, Do-Hwan; Shin, Seung Chul; Kim, Bo-Mi; Kang, Seunghyun; Kim, Jin-Hyoung; Ahn, Inhye; Park, Joonho; Park, Hyun"				GIGASCIENCE	JUL 24 2017	2017	6	8								0	0
"De novo genome assembly and annotation of Australia's largest freshwater fish, the Murray cod (Maccullochella peelii) from Illumina and Nanopore sequencing reads"	"Austin, Christopher M.; Tan, Mun Hua; Harrisson, Katherine A.; Lee, Yin Peng; Croft, Laurence J.; Sunnucks, Paul; Pavlova, Alexandra; Gan, Han Ming"				GIGASCIENCE	JUL 19 2017	2017	6	8								0	0
Automated Assembly of Species Metabolomes through Data Submission into a Public Repository	"Salek, Reza M.; Conesa, Pablo; Cochrane, Keeva; Haug, Kenneth; Williams, Mark; Kale, Namrata; Moreno, Pablo; Jayaseelan, Kalai; Macias, Jose Ramon; Nainala, Venkata Chandrasekhar; Hall, Robert D.; Reed, Laura K.; Viant, Mark R.; O'Donovan, Claire; Steinbeck, Christoph"				GIGASCIENCE	JUL 19 2017	2017	6	8								0	0
A recurrence based approach for validating structural variation using long-read sequencing technology	"Zhao, Xuefang; Weber, Alexandra M.; Mills, Ryan E."				GIGASCIENCE	JUL 19 2017	2017	6	8								0	0
"iCAVE: an open source tool for visualizing biomolecular networks in 3D, stereoscopic 3D and immersive 3D"	"Liluashvili, Vaja; Kalayci, Selim; Fluder, Eugene; Wilson, Manda; Gabow, Aaron; Gumus, Zeynep H."				GIGASCIENCE	JUL 15 2017	2017	6	8				1	13		10.1093/gigascience/gix054	0	0
Transcriptome Analysis of the Response of Burmese Python to Digestion	"Duan, Jinjie; Sanggaard, Kristian Wejse; Schauser, Leif; Lauridsen, Sanne Enok; Enghild, Jan J.; Schierup, Mikkel Heide; Wang, Tobias"				GIGASCIENCE	JUL 13 2017	2017	6	8				1	51			0	0
An expanded mammal mitogenome dataset from Southeast Asia	"Salleh, Faezah Mohd; Ramos-Madrigal, Jazmin; Penaloza, Fernando; Liu, Shanlin; Sinding, Mikkel-Holger S.; Patel, Riddhi P.; Martins, Renata; Lenz, Dorina; Fickel, Joerns; Roos, Christian; Shamsir, Mohd Shahir; Azman, Mohammad Shahfiz; Lim, Burton K.; Rossiter, Stephen J.; Wilting, Andreas; Gilbert, M. Thomas P."				GIGASCIENCE	JUL 13 2017	2017	6	8				1	19			0	0
Large-scale phenomics analysis of a T-DNA tagged mutant population	"Wu, Hshin-Ping; Wei, Fu-Jin; Wu, Cheng-Chieh; Lo, Shuen-Fang; Chen, Liang-Jwu; Fan, Ming-Jen; Chen, Shu; Wen, Ien-Chie; Yu, Su-May; Ho, Tuan-Hua David; Lai, Ming-Hsin; Hsing, Yue-ie C."				GIGASCIENCE	JUL 13 2017	2017	6	8							10.1093/gigascience/gix055	0	0
A single mini-barcode test to screen for Australian mammalian predators from environmental samples	"Modave, Elodie; MacDonald, Anna J.; Sarre, Stephen D."				GIGASCIENCE	JUL 4 2017	2017	6	8						13	10.1093/gigascience/gix052	0	0
Bio-Docklets: virtualization containers for single-step execution of NGS pipelines	"Kim, Baekdoo; Ali, Thahmina; Lijeron, Carlos; Afgan, Enis; Krampis, Konstantinos"				GIGASCIENCE	JUN 27 2017	2017	6	8							10.1093/gigascience/gix048	0	0
Comparative performance of the BGISEQ-500 vs Illumina HiSeq2500 sequencing platforms for palaeogenomic sequencing	"Mak, Sarah Siu Tze; Gopalakrishnan, Shyam; Caroe, Christian; Geng, Chunyu; Liu, Shanlin; Sinding, Mikkel-Holger S.; Kuderna, Lukas F. K.; Zhang, Wenwei; Fu, Shujin; Vieira, Filipe G.; Germonpre, Mietje; Bocherens, Herve; Fedorov, Sergey; Petersen, Bent; Sicheritz-Ponten, Thomas; Marques-Bonet, Tomas; Zhang, Guojie; Jiang, Hui; Gilbert, M. Thomas P."				GIGASCIENCE	JUN 26 2017	2017	6	8							10.1093/gigascience/gix049	0	0
Two distinct metacommunities characterize the gut microbiota in Crohn's disease patients	"He, Qing; Gao, Yuan; Jie, Zhuye; Yu, Xinlei; Laursen, Janne Marie; Xiao, Liang; Li, Ying; Li, Lingling; Zhang, Faming; Feng, Qiang; Li, Xiaoping; Yu, Jinghong; Liu, Chuan; Lan, Ping; Yan, Ting; Liu, Xin; Xu, Xun; Yang, Huanming; Wang, Jian; Madsen, Lise; Brix, Susanne; Wang, Jianping G; Kristiansen, Karsten; Jia, Huijue"				GIGASCIENCE	JUN 26 2017	2017	6	7								0	0
Kronos: a workflow assembler for genome analytics and informatics	"Taghiyar, M. Jafar; Rosner, Jamie; Grewal, Diljot; Grande, Bruno M.; Aniba, Radhouane; Grewal, Jasleen; Boutros, Paul C.; Morin, Ryan D.; Bashashati, Ali; Shah, Sohrab P."				GIGASCIENCE	JUN 26 2017	2017	6	7								0	0
The metagenomic data life-cycle: standards and best practices	"ten Hoopen, Petra; Finn, Robert D.; Bongo, Lars Ailo; Corre, Erwan; Fosso, Bruno; Meyer, Folker; Mitchell, Alex; Pelletier, Eric; Pesole, Graziano; Santamaria, Monica; Willassen, Nils Peder; Cochrane, Guy"				GIGASCIENCE	JUN 16 2017	2017	6	8							10.1093/gigascience/gix047	0	0
The metagenomic data life-cycle: standards and best practices	"ten Hoopen, Petra; Finn, Robert D.; Bongo, Lars Ailo; Corre, Erwan; Fosso, Bruno; Meyer, Folker; Mitchell, Alex; Pelletier, Eric; Pesole, Graziano; Santamaria, Monica; Willassen, Nils Peder; Cochrane, Guy"				GIGASCIENCE	JUN 16 2017	2017	6	7								0	0
16GT: a fast and sensitive variant caller using a 16-genotype probabilistic model	"Luo, Ruibang; Schatz, Michael C.; Salzberg, Steven L."				GIGASCIENCE	JUN 15 2017	2017	6	7								0	0
Comprehensive analysis of microorganisms accompanying human archaeological remains	"Philips, Anna; Stolarek, Ireneusz; Kuczkowska, Bogna; Juras, Anna; Handschuh, Luiza; Piontek, Janusz; Kozlowski, Piotr; Figlerowicz, Marek"				GIGASCIENCE	JUN 13 2017	2017	6	7								0	0
Multi-locus and long amplicon sequencing approach to study microbial diversity at species level using the MinION (TM) portable nanopore sequencer	"Benitez-Paez, Alfonso; Sanz, Yolanda"				GIGASCIENCE	JUN 12 2017	2017	6	7								0	0
"Sequencing, de novo assembling, and annotating the genome of the endangered Chinese crocodile lizard Shinisaurus crocodilurus"	"Gao, Jian; Li, Qiye; Wang, Zongji; Zhou, Yang; Martelli, Paolo; Li, Fang; Xiong, Zijun; Wang, Jian; Yang, Huanming; Zhang, Guojie"				GIGASCIENCE	JUN 8 2017	2017	6	7							10.1093/gigascience/gix041	0	0
A combined meta-barcoding and shotgun metagenomic analysis of spontaneous wine fermentation	"Sternes, Peter R.; Lee, Danna; Kutyna, Dariusz R.; Borneman, Anthony R."				GIGASCIENCE	JUN 8 2017	2017	6	7				1	30			0	0
The draft genome of blunt snout bream (Megalobrama amblycephala) reveals the development of intermuscular bone and adaptation to herbivorous diet	"Liu, Han; Chen, Chunhai; Gao, Zexia; Min, Jiumeng; Gu, Yongming; Jian, Jianbo; Jiang, Xiewu; Cai, Huimin; Ebersberger, Ingo; Xu, Meng; Zhang, Xinhui; Chen, Jianwei; Luo, Wei; Chen, Boxiang; Chen, Junhui; Liu, Hong; Li, Jiang; Lai, Ruifang; Bai, Mingzhou; Wei, Jin; Yi, Shaokui; Wang, Huanling; Cao, Xiaojuan; Zhou, Xiaoyun; Zhao, Yuhua; Wei, Kaijian; Yang, Ruibin; Liu, Bingnan; Zhao, Shancen; Fang, Xiaodong; Schartl, Manfred; Qian, Xueqiao; Wang, Weimin"				GIGASCIENCE	MAY 23 2017	2017	6	7							10.1093/gigascience/gix039	0	0
Alignment of 1000 Genomes Project Reads to Reference Assembly GRCh38	"Zheng-Bradley, Xiangqun; Streeter, Ian; Fairley, Susan; Richardson, David; Clarke, Laura; Flicek, Paul"	1000 Genomes Project Consortium			GIGASCIENCE	MAY 20 2017	2017	6	7								0	0
"Lipidomic profiling reveals distinct differences in plasma lipid composition in healthy, prediabetic, and type 2 diabetic individuals"	"Zhong, Huanzi; Fang, Chao; Fan, Yanqun; Lu, Yan; Wen, Bo; Ren, Huahui; Hou, Guixue; Yang, Fangming; Xie, Hailiang; Jie, Zhuye; Peng, Ye; Ye, Zhiqiang; Wu, Jiegen; Zi, Jin; Zhao, Guoqing; Chen, Jiayu; Bao, Xiao; Hu, Yihe; Gao, Yan; Zhang, Jun; Yang, Huanming; Wang, Jian; Madsen, Lise; Kristiansen, Karsten; Ni, Chuanming; Li, Junhua; Liu, Siqi"				GIGASCIENCE	MAY 15 2017	2017	6	7				1	12		10.1093/gigascience/gix036	0	0
A high-coverage draft genome of the mycalesine butterfly Bicyclus anynana	"Nowell, Reuben W.; Elsworth, Ben; Oostra, Vicencio; Zwaan, Bas J.; Wheat, Christopher W.; Saastamoinen, Marjo; Saccheri, Ilik J.; Van't Hof, Arjen E.; Wasik, Bethany R.; Connahs, Heidi; Aslam, Muhammad L.; Kumar, Sujai; Challis, Richard J.; Monteiro, Antonia; Brakefield, Paul M.; Blaxter, Mark"				GIGASCIENCE	MAY 9 2017	2017	6	7							10.1093/gigascience/gix035	0	0
"Introducing BASE: the Biomes of Australian Soil Environments soil microbial diversity database (vol 5, 1, 2016)"	"Bissett, Andrew; Fitzgerald, Anna; Court, Leon; Meintjes, Thys; Mele, Pauline M.; Reith, Frank; Dennis, Paul G.; Breed, Martin F.; Brown, Belinda; Brown, Mark V.; Brugger, Joel; Byrne, Margaret; Caddy-Retalic, Stefan; Carmody, Bernie; Coates, David J.; Correa, Carolina; Ferrari, Belinda C.; Gupta, Vadakattu V. S. R.; Hamonts, Kelly; Haslem, Asha; Hugenholtz, Philip; Karan, Mirko; Koval, Jason; Lowe, Andrew J.; Macdonald, Stuart; McGrath, Leanne; Martin, David; Morgan, Matt; North, Kristin I.; Paungfoo-Lonhienne, Chanyarat; Pendall, Elise; Phillips, Lori; Pirzl, Rebecca; Powell, Jeff R.; Ragan, Mark A.; Schmidt, Susanne; Seymour, Nicole; Snape, Ian; Stephen, John R.; Stevens, Matthew; Tinning, Matt; Williams, Kristen; Yeoh, Yun Kit; Zammit, Carla M.; Young, Andrew"				GIGASCIENCE	MAY 8 2017	2017	6	5							10.1093/gigascience/gix021	0	0
Draft genome sequence of the Tibetan medicinal herb Rhodiola crenulata	"Fu, Yuanyuan; Li, Liangwei; Hao, Shijie; Guan, Rui; Fan, Guangyi; Shi, Chengcheng; Wan, Haibo; Chen, Wenbin; Zhang, He; Liu, Guocheng; Wang, Jihua; Ma, Lulin; You, Jianling; Ni, Xuemei; Yue, Zhen; Xu, Xun; Sun, Xiao; Liu, Xin; Lee, Simon Ming-Yuen"				GIGASCIENCE	MAY 5 2017	2017	6	6							10.1093/gigascience/gix033	0	0
EEG datasets for motor imagery brain-computer interface	"Cho, Hohyun; Ahn, Minkyu; Ahn, Sangtae; Kwon, Moonyoung; Jun, Sung Chan"				GIGASCIENCE	MAY 4 2017	2017	6	7				1	8		10.1093/gigascience/gix034	0	0
GSuite HyperBrowser: integrative analysis of dataset collections across the genome and epigenome	"Simovski, Boris; Vodak, Daniel; Gundersen, Sveinung; Domanska, Diana; Azab, Abdulrahman; Holden, Lars; Holden, Marit; Grytten, Ivar; Rand, Knut; Drablos, Finn; Johansen, Morten; Mora, Antonio; Lund-Andersen, Christin; Fromm, Bastian; Eskeland, Ragnhild; Gabrielsen, Odd Stokke; Ferkingstad, Egil; Nakken, Sigve; Bengtsen, Mads; Nederbragt, Alexander Johan; Thorarensen, Hildur Sif; Akse, Johannes Andreas; Glad, Ingrid; Hovig, Eivind; Sandve, Geir Kjetil"				GIGASCIENCE	APR 27 2017	2017	6	7							10.1093/gigascience/gix032	0	0
Calculating the quality of public high-throughput sequencing data to obtain a suitable subset for reanalysis from the Sequence Read Archive	"Ohta, Tazro; Nakazato, Takeru; Bono, Hidemasa"				GIGASCIENCE	APR 25 2017	2017	6	6							10.1093/gigascience/gix029	0	0
